[2026-07-04 22:52:34] INFO - gcn_20260704-225234 - [1/1] Run name: gcn_20260704-225234
[2026-07-04 22:52:34] INFO - gcn_20260704-225234 - [1/1] Model: GCN | requires_graph=True | trainable_params=137,219 | model_config={'name': 'gcn', 'hidden_dim': 256, 'num_layers': 3, 'dropout': 0.1, 'activation': 'leaky_relu'}
[2026-07-04 22:54:40] INFO - gcn_20260704-225234 - Trainer ready: model=GCN (137,219 trainable params), device=cuda, graph_model=True
[2026-07-04 22:54:40] INFO - gcn_20260704-225234 - Starting training: epochs=75, start_epoch=0, optimizer=AdamW, scheduler=plateau
[2026-07-04 23:25:58] INFO - gcn_20260704-225234 - Epoch 45/75 | train_loss=0.21374 val_loss=0.23502 | train_cos=0.8346 val_cos=0.8195 | lr=5.00e-04 | time=41.7s
[2026-07-04 23:26:40] INFO - gcn_20260704-225234 - Epoch 46/75 | train_loss=0.21341 val_loss=0.23493 | train_cos=0.8349 val_cos=0.8195 | lr=5.00e-04 | time=41.8s
[2026-07-04 23:27:21] INFO - gcn_20260704-225234 - Epoch 47/75 | train_loss=0.21327 val_loss=0.23415 | train_cos=0.8350 val_cos=0.8199 | lr=5.00e-04 | time=41.6s
[2026-07-04 23:28:03] INFO - gcn_20260704-225234 - Epoch 48/75 | train_loss=0.21326 val_loss=0.23446 | train_cos=0.8350 val_cos=0.8196 | lr=5.00e-04 | time=41.6s
[2026-07-04 23:28:45] INFO - gcn_20260704-225234 - Epoch 49/75 | train_loss=0.21091 val_loss=0.23368 | train_cos=0.8369 val_cos=0.8203 | lr=2.50e-04 | time=41.7s
[2026-07-04 23:29:26] INFO - gcn_20260704-225234 - Epoch 50/75 | train_loss=0.21052 val_loss=0.23376 | train_cos=0.8372 val_cos=0.8202 | lr=2.50e-04 | time=41.5s
[2026-07-04 23:30:08] INFO - gcn_20260704-225234 - Epoch 51/75 | train_loss=0.21058 val_loss=0.23392 | train_cos=0.8372 val_cos=0.8199 | lr=2.50e-04 | time=41.5s
[2026-07-04 23:30:49] INFO - gcn_20260704-225234 - Epoch 52/75 | train_loss=0.21015 val_loss=0.23413 | train_cos=0.8375 val_cos=0.8200 | lr=2.50e-04 | time=41.6s
[2026-07-04 23:31:31] INFO - gcn_20260704-225234 - Epoch 53/75 | train_loss=0.20984 val_loss=0.23428 | train_cos=0.8378 val_cos=0.8198 | lr=2.50e-04 | time=41.4s
[2026-07-04 23:32:13] INFO - gcn_20260704-225234 - Epoch 54/75 | train_loss=0.20982 val_loss=0.23417 | train_cos=0.8378 val_cos=0.8199 | lr=2.50e-04 | time=41.5s
[2026-07-04 23:32:54] INFO - gcn_20260704-225234 - Epoch 55/75 | train_loss=0.20991 val_loss=0.23380 | train_cos=0.8377 val_cos=0.8202 | lr=2.50e-04 | time=41.5s
[2026-07-04 23:33:36] INFO - gcn_20260704-225234 - Epoch 56/75 | train_loss=0.20952 val_loss=0.23356 | train_cos=0.8381 val_cos=0.8203 | lr=2.50e-04 | time=41.8s
[2026-07-04 23:34:17] INFO - gcn_20260704-225234 - Epoch 57/75 | train_loss=0.20930 val_loss=0.23386 | train_cos=0.8383 val_cos=0.8200 | lr=2.50e-04 | time=41.6s
[2026-07-04 23:34:59] INFO - gcn_20260704-225234 - Epoch 58/75 | train_loss=0.20926 val_loss=0.23417 | train_cos=0.8383 val_cos=0.8199 | lr=2.50e-04 | time=41.8s
[2026-07-04 23:35:41] INFO - gcn_20260704-225234 - Epoch 59/75 | train_loss=0.20889 val_loss=0.23428 | train_cos=0.8386 val_cos=0.8197 | lr=2.50e-04 | time=41.9s
[2026-07-04 23:36:23] INFO - gcn_20260704-225234 - Epoch 60/75 | train_loss=0.20915 val_loss=0.23436 | train_cos=0.8384 val_cos=0.8196 | lr=2.50e-04 | time=41.8s
[2026-07-04 23:37:05] INFO - gcn_20260704-225234 - Epoch 61/75 | train_loss=0.20889 val_loss=0.23398 | train_cos=0.8386 val_cos=0.8197 | lr=2.50e-04 | time=42.0s
[2026-07-04 23:37:47] INFO - gcn_20260704-225234 - Epoch 62/75 | train_loss=0.20869 val_loss=0.23387 | train_cos=0.8388 val_cos=0.8201 | lr=2.50e-04 | time=41.6s
[2026-07-04 23:38:28] INFO - gcn_20260704-225234 - Epoch 63/75 | train_loss=0.20866 val_loss=0.23449 | train_cos=0.8388 val_cos=0.8195 | lr=2.50e-04 | time=41.7s
[2026-07-04 23:39:10] INFO - gcn_20260704-225234 - Epoch 64/75 | train_loss=0.20825 val_loss=0.23469 | train_cos=0.8392 val_cos=0.8195 | lr=2.50e-04 | time=41.6s
[2026-07-04 23:39:51] INFO - gcn_20260704-225234 - Epoch 65/75 | train_loss=0.20813 val_loss=0.23425 | train_cos=0.8393 val_cos=0.8195 | lr=2.50e-04 | time=41.4s
[2026-07-04 23:40:33] INFO - gcn_20260704-225234 - Epoch 66/75 | train_loss=0.20681 val_loss=0.23397 | train_cos=0.8404 val_cos=0.8198 | lr=1.25e-04 | time=41.4s
[2026-07-04 23:41:14] INFO - gcn_20260704-225234 - Epoch 67/75 | train_loss=0.20675 val_loss=0.23416 | train_cos=0.8404 val_cos=0.8198 | lr=1.25e-04 | time=41.5s
[2026-07-04 23:41:56] INFO - gcn_20260704-225234 - Epoch 68/75 | train_loss=0.20644 val_loss=0.23385 | train_cos=0.8407 val_cos=0.8198 | lr=1.25e-04 | time=41.3s
[2026-07-04 23:42:37] INFO - gcn_20260704-225234 - Epoch 69/75 | train_loss=0.20637 val_loss=0.23425 | train_cos=0.8408 val_cos=0.8196 | lr=1.25e-04 | time=41.4s
[2026-07-04 23:43:18] INFO - gcn_20260704-225234 - Epoch 70/75 | train_loss=0.20629 val_loss=0.23431 | train_cos=0.8408 val_cos=0.8197 | lr=1.25e-04 | time=41.3s
[2026-07-04 23:44:00] INFO - gcn_20260704-225234 - Epoch 71/75 | train_loss=0.20635 val_loss=0.23454 | train_cos=0.8408 val_cos=0.8195 | lr=1.25e-04 | time=41.4s
[2026-07-04 23:44:41] INFO - gcn_20260704-225234 - Epoch 72/75 | train_loss=0.20612 val_loss=0.23376 | train_cos=0.8410 val_cos=0.8200 | lr=1.25e-04 | time=41.5s
[2026-07-04 23:45:22] INFO - gcn_20260704-225234 - Epoch 73/75 | train_loss=0.20619 val_loss=0.23461 | train_cos=0.8409 val_cos=0.8193 | lr=1.25e-04 | time=41.1s
[2026-07-04 23:46:04] INFO - gcn_20260704-225234 - Epoch 74/75 | train_loss=0.20591 val_loss=0.23435 | train_cos=0.8412 val_cos=0.8196 | lr=1.25e-04 | time=41.3s
[2026-07-04 23:46:45] INFO - gcn_20260704-225234 - Epoch 75/75 | train_loss=0.20520 val_loss=0.23405 | train_cos=0.8417 val_cos=0.8196 | lr=6.25e-05 | time=41.6s
[2026-07-04 23:46:45] INFO - gcn_20260704-225234 - [1/1] Training complete. Best val loss: 0.23356 after 75 epochs.
[2026-07-04 23:46:45] INFO - gcn_20260704-225234 - [1/1] Checkpoints: checkpoints/gcn_20260704-225234
[2026-07-04 23:46:45] INFO - gcn_20260704-225234 - [1/1] Next: python evaluate.py --checkpoint checkpoints/gcn_20260704-225234/best.pt
