[2026-07-04 11:18:24] INFO - mlp_20260704-111824 - [1/1] Run name: mlp_20260704-111824
[2026-07-04 11:18:24] INFO - mlp_20260704-111824 - [1/1] Model: MLP | requires_graph=False | trainable_params=203,011 | model_config={'name': 'mlp', 'hidden_dim': 256, 'num_layers': 4, 'dropout': 0.2, 'activation': 'leaky_relu'}
[2026-07-04 11:18:24] INFO - mlp_20260704-111824 - Trainer ready: model=MLP (203,011 trainable params), device=cpu, graph_model=False
[2026-07-04 11:18:24] INFO - mlp_20260704-111824 - Starting training: epochs=75, start_epoch=0, optimizer=AdamW, scheduler=none
[2026-07-04 11:29:08] INFO - mlp_20260704-111824 - Epoch 54/75 | train_loss=0.19763 val_loss=0.19836 | train_cos=0.8475 val_cos=0.8454 | lr=1.00e-03 | time=10.6s
[2026-07-04 11:29:19] INFO - mlp_20260704-111824 - Epoch 55/75 | train_loss=0.19732 val_loss=0.19830 | train_cos=0.8478 val_cos=0.8455 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:29:30] INFO - mlp_20260704-111824 - Epoch 56/75 | train_loss=0.19725 val_loss=0.19923 | train_cos=0.8478 val_cos=0.8447 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:29:43] INFO - mlp_20260704-111824 - Epoch 57/75 | train_loss=0.19655 val_loss=0.19738 | train_cos=0.8484 val_cos=0.8462 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:29:54] INFO - mlp_20260704-111824 - Epoch 58/75 | train_loss=0.19727 val_loss=0.19746 | train_cos=0.8478 val_cos=0.8461 | lr=1.00e-03 | time=10.9s
[2026-07-04 11:30:05] INFO - mlp_20260704-111824 - Epoch 59/75 | train_loss=0.19713 val_loss=0.19715 | train_cos=0.8479 val_cos=0.8464 | lr=1.00e-03 | time=10.8s
[2026-07-04 11:30:19] INFO - mlp_20260704-111824 - Epoch 60/75 | train_loss=0.19621 val_loss=0.19771 | train_cos=0.8487 val_cos=0.8460 | lr=1.00e-03 | time=10.9s
[2026-07-04 11:30:30] INFO - mlp_20260704-111824 - Epoch 61/75 | train_loss=0.19662 val_loss=0.19700 | train_cos=0.8484 val_cos=0.8467 | lr=1.00e-03 | time=10.9s
[2026-07-04 11:30:41] INFO - mlp_20260704-111824 - Epoch 62/75 | train_loss=0.19588 val_loss=0.19829 | train_cos=0.8490 val_cos=0.8455 | lr=1.00e-03 | time=11.0s
[2026-07-04 11:30:55] INFO - mlp_20260704-111824 - Epoch 63/75 | train_loss=0.19622 val_loss=0.19800 | train_cos=0.8487 val_cos=0.8457 | lr=1.00e-03 | time=10.9s
[2026-07-04 11:31:06] INFO - mlp_20260704-111824 - Epoch 64/75 | train_loss=0.19576 val_loss=0.19800 | train_cos=0.8491 val_cos=0.8457 | lr=1.00e-03 | time=10.9s
[2026-07-04 11:31:17] INFO - mlp_20260704-111824 - Epoch 65/75 | train_loss=0.19552 val_loss=0.19763 | train_cos=0.8493 val_cos=0.8461 | lr=1.00e-03 | time=11.1s
[2026-07-04 11:31:31] INFO - mlp_20260704-111824 - Epoch 66/75 | train_loss=0.19516 val_loss=0.19737 | train_cos=0.8496 val_cos=0.8464 | lr=1.00e-03 | time=11.0s
[2026-07-04 11:31:42] INFO - mlp_20260704-111824 - Epoch 67/75 | train_loss=0.19581 val_loss=0.19877 | train_cos=0.8491 val_cos=0.8451 | lr=1.00e-03 | time=11.1s
[2026-07-04 11:31:53] INFO - mlp_20260704-111824 - Epoch 68/75 | train_loss=0.19545 val_loss=0.19760 | train_cos=0.8494 val_cos=0.8462 | lr=1.00e-03 | time=10.9s
[2026-07-04 11:32:07] INFO - mlp_20260704-111824 - Epoch 69/75 | train_loss=0.19524 val_loss=0.19709 | train_cos=0.8496 val_cos=0.8466 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:32:18] INFO - mlp_20260704-111824 - Epoch 70/75 | train_loss=0.19532 val_loss=0.19880 | train_cos=0.8495 val_cos=0.8451 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:32:28] INFO - mlp_20260704-111824 - Epoch 71/75 | train_loss=0.19519 val_loss=0.19808 | train_cos=0.8496 val_cos=0.8457 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:32:42] INFO - mlp_20260704-111824 - Epoch 72/75 | train_loss=0.19459 val_loss=0.19747 | train_cos=0.8501 val_cos=0.8462 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:32:53] INFO - mlp_20260704-111824 - Epoch 73/75 | train_loss=0.19470 val_loss=0.19757 | train_cos=0.8500 val_cos=0.8462 | lr=1.00e-03 | time=10.6s
[2026-07-04 11:33:04] INFO - mlp_20260704-111824 - Epoch 74/75 | train_loss=0.19432 val_loss=0.19821 | train_cos=0.8504 val_cos=0.8456 | lr=1.00e-03 | time=10.8s
[2026-07-04 11:33:17] INFO - mlp_20260704-111824 - Epoch 75/75 | train_loss=0.19426 val_loss=0.19794 | train_cos=0.8504 val_cos=0.8457 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:33:17] INFO - mlp_20260704-111824 - [1/1] Training complete. Best val loss: 0.19700 after 75 epochs.
[2026-07-04 11:33:17] INFO - mlp_20260704-111824 - [1/1] Checkpoints: checkpoints/mlp_20260704-111824
[2026-07-04 11:33:17] INFO - mlp_20260704-111824 - [1/1] Next: python evaluate.py --checkpoint checkpoints/mlp_20260704-111824/best.pt
