[2026-07-05 10:11:38] INFO - gat_20260705-101138 - [1/1] Run name: gat_20260705-101138
[2026-07-05 10:11:38] INFO - gat_20260705-101138 - [1/1] Model: GAT | requires_graph=True | trainable_params=138,755 | model_config={'name': 'gat', 'hidden_dim': 256, 'num_layers': 3, 'dropout': 0.2, 'activation': 'leaky_relu', 'heads': 2}
[2026-07-05 10:13:37] INFO - gat_20260705-101138 - Trainer ready: model=GAT (138,755 trainable params), device=cuda, graph_model=True
[2026-07-05 10:13:37] INFO - gat_20260705-101138 - Starting training: epochs=75, start_epoch=0, optimizer=AdamW, scheduler=plateau
[2026-07-05 11:10:11] INFO - gat_20260705-101138 - Epoch 61/75 | train_loss=0.21027 val_loss=0.22794 | train_cos=0.8375 val_cos=0.8226 | lr=1.25e-04 | time=55.7s
[2026-07-05 11:11:06] INFO - gat_20260705-101138 - Epoch 62/75 | train_loss=0.21052 val_loss=0.22779 | train_cos=0.8372 val_cos=0.8228 | lr=1.25e-04 | time=55.5s
[2026-07-05 11:12:02] INFO - gat_20260705-101138 - Epoch 63/75 | train_loss=0.21029 val_loss=0.22818 | train_cos=0.8375 val_cos=0.8225 | lr=1.25e-04 | time=55.6s
[2026-07-05 11:12:58] INFO - gat_20260705-101138 - Epoch 64/75 | train_loss=0.21018 val_loss=0.22830 | train_cos=0.8375 val_cos=0.8224 | lr=1.25e-04 | time=56.2s
[2026-07-05 11:13:54] INFO - gat_20260705-101138 - Epoch 65/75 | train_loss=0.21000 val_loss=0.22827 | train_cos=0.8377 val_cos=0.8224 | lr=1.25e-04 | time=55.5s
[2026-07-05 11:14:49] INFO - gat_20260705-101138 - Epoch 66/75 | train_loss=0.21030 val_loss=0.22822 | train_cos=0.8374 val_cos=0.8224 | lr=1.25e-04 | time=55.4s
[2026-07-05 11:15:45] INFO - gat_20260705-101138 - Epoch 67/75 | train_loss=0.21021 val_loss=0.22813 | train_cos=0.8375 val_cos=0.8225 | lr=1.25e-04 | time=55.4s
[2026-07-05 11:16:40] INFO - gat_20260705-101138 - Epoch 68/75 | train_loss=0.20994 val_loss=0.22804 | train_cos=0.8378 val_cos=0.8226 | lr=1.25e-04 | time=55.5s
[2026-07-05 11:17:36] INFO - gat_20260705-101138 - Epoch 69/75 | train_loss=0.20991 val_loss=0.22820 | train_cos=0.8378 val_cos=0.8224 | lr=1.25e-04 | time=55.4s
[2026-07-05 11:18:32] INFO - gat_20260705-101138 - Epoch 70/75 | train_loss=0.20999 val_loss=0.22818 | train_cos=0.8377 val_cos=0.8224 | lr=1.25e-04 | time=56.0s
[2026-07-05 11:19:28] INFO - gat_20260705-101138 - Epoch 71/75 | train_loss=0.20960 val_loss=0.22824 | train_cos=0.8380 val_cos=0.8224 | lr=1.25e-04 | time=56.3s
[2026-07-05 11:20:24] INFO - gat_20260705-101138 - Epoch 72/75 | train_loss=0.20919 val_loss=0.22780 | train_cos=0.8384 val_cos=0.8228 | lr=6.25e-05 | time=56.1s
[2026-07-05 11:21:20] INFO - gat_20260705-101138 - Epoch 73/75 | train_loss=0.20938 val_loss=0.22821 | train_cos=0.8382 val_cos=0.8225 | lr=6.25e-05 | time=55.6s
[2026-07-05 11:22:15] INFO - gat_20260705-101138 - Epoch 74/75 | train_loss=0.20919 val_loss=0.22821 | train_cos=0.8383 val_cos=0.8225 | lr=6.25e-05 | time=55.6s
[2026-07-05 11:23:11] INFO - gat_20260705-101138 - Epoch 75/75 | train_loss=0.20909 val_loss=0.22820 | train_cos=0.8384 val_cos=0.8225 | lr=6.25e-05 | time=55.9s
[2026-07-05 11:23:11] INFO - gat_20260705-101138 - [1/1] Training complete. Best val loss: 0.22779 after 75 epochs.
[2026-07-05 11:23:11] INFO - gat_20260705-101138 - [1/1] Checkpoints: checkpoints/gat_20260705-101138
[2026-07-05 11:23:11] INFO - gat_20260705-101138 - [1/1] Next: python evaluate.py --checkpoint checkpoints/gat_20260705-101138/best.pt
