[2026-07-02 00:39:17] INFO - neutrino_reco - Run name: mlp_20260702-003917
[2026-07-02 00:39:17] INFO - neutrino_reco - Base config: config/baseline.yaml | Model config: config/mlp.yaml
[2026-07-02 00:39:17] INFO - neutrino_reco - Resolved config saved to checkpoints/mlp_20260702-003917/config.yaml
[2026-07-02 00:39:17] INFO - neutrino_reco - Using device: cpu
[2026-07-02 00:39:17] INFO - neutrino_reco - Loaded 4588 events from aeCC_cleaned.h5
[2026-07-02 00:39:17] INFO - neutrino_reco - Loaded 19513 events from amCC_cleaned.h5
[2026-07-02 00:39:17] INFO - neutrino_reco - Loaded 4381 events from amNC_cleaned.h5
[2026-07-02 00:39:17] INFO - neutrino_reco - Loaded 35920 events from atCC_cleaned.h5
[2026-07-02 00:39:17] INFO - neutrino_reco - Loaded 13033 events from eCC_cleaned.h5
[2026-07-02 00:39:18] INFO - neutrino_reco - Loaded 46331 events from mCC_cleaned.h5
[2026-07-02 00:39:18] INFO - neutrino_reco - Loaded 33445 events from mNC_cleaned.h5
[2026-07-02 00:39:18] INFO - neutrino_reco - Loaded 35814 events from tCC_cleaned.h5
[2026-07-02 00:39:18] INFO - neutrino_reco - NeutrinoDataModule ready: 193025 events total (train=135118, val=28954, test=28953), input_dim=18, output_dim=3
[2026-07-02 00:39:18] INFO - neutrino_reco - Model: MLP | requires_graph=False | trainable_params=203,011
[2026-07-02 00:39:18] INFO - neutrino_reco - Trainer ready: model=MLP (203,011 trainable params), device=cpu, graph_model=False
[2026-07-02 00:39:18] INFO - neutrino_reco - Starting training: epochs=150, start_epoch=0, optimizer=AdamW, scheduler=plateau
[2026-07-02 00:50:25] INFO - neutrino_reco - Epoch 53/150 | train_loss=0.19957 val_loss=0.19956 | train_cos=0.8461 val_cos=0.8447 | lr=1.00e-03 | time=11.3s
[2026-07-02 00:50:40] INFO - neutrino_reco - Epoch 54/150 | train_loss=0.19901 val_loss=0.19948 | train_cos=0.8465 val_cos=0.8448 | lr=1.00e-03 | time=11.2s
[2026-07-02 00:50:52] INFO - neutrino_reco - Epoch 55/150 | train_loss=0.19876 val_loss=0.19945 | train_cos=0.8467 val_cos=0.8448 | lr=1.00e-03 | time=11.5s
[2026-07-02 00:51:07] INFO - neutrino_reco - Epoch 56/150 | train_loss=0.19890 val_loss=0.19999 | train_cos=0.8467 val_cos=0.8444 | lr=1.00e-03 | time=11.7s
[2026-07-02 00:51:19] INFO - neutrino_reco - Epoch 57/150 | train_loss=0.19857 val_loss=0.19923 | train_cos=0.8469 val_cos=0.8450 | lr=1.00e-03 | time=11.8s
[2026-07-02 00:51:30] INFO - neutrino_reco - Epoch 58/150 | train_loss=0.19884 val_loss=0.19943 | train_cos=0.8467 val_cos=0.8448 | lr=1.00e-03 | time=11.8s
[2026-07-02 00:51:45] INFO - neutrino_reco - Epoch 59/150 | train_loss=0.19838 val_loss=0.20093 | train_cos=0.8471 val_cos=0.8436 | lr=1.00e-03 | time=11.6s
[2026-07-02 00:51:57] INFO - neutrino_reco - Epoch 60/150 | train_loss=0.19808 val_loss=0.19946 | train_cos=0.8473 val_cos=0.8449 | lr=1.00e-03 | time=11.8s
[2026-07-02 00:52:08] INFO - neutrino_reco - Epoch 61/150 | train_loss=0.19469 val_loss=0.19725 | train_cos=0.8500 val_cos=0.8465 | lr=5.00e-04 | time=11.5s
[2026-07-02 00:52:23] INFO - neutrino_reco - Epoch 62/150 | train_loss=0.19340 val_loss=0.19779 | train_cos=0.8509 val_cos=0.8460 | lr=5.00e-04 | time=11.8s
[2026-07-02 00:52:35] INFO - neutrino_reco - Epoch 63/150 | train_loss=0.19287 val_loss=0.19778 | train_cos=0.8514 val_cos=0.8461 | lr=5.00e-04 | time=11.6s
[2026-07-02 00:52:46] INFO - neutrino_reco - Epoch 64/150 | train_loss=0.19313 val_loss=0.19667 | train_cos=0.8511 val_cos=0.8469 | lr=5.00e-04 | time=11.5s
[2026-07-02 00:53:02] INFO - neutrino_reco - Epoch 65/150 | train_loss=0.19254 val_loss=0.19795 | train_cos=0.8516 val_cos=0.8459 | lr=5.00e-04 | time=11.5s
[2026-07-02 00:53:13] INFO - neutrino_reco - Epoch 66/150 | train_loss=0.19227 val_loss=0.19748 | train_cos=0.8518 val_cos=0.8462 | lr=5.00e-04 | time=11.5s
